"","M01.1-V1-stool","M01.1-V2-stool","M01.1-V3-stool","M01.2-V1-stool","M01.2-V2-stool","M01.2-V3-stool","M01.3-V1-stool","M01.3-V2-stool","M01.3-V3-stool","M01.4-V1-stool","M01.4-V2-stool","M01.4-V3-stool","M01.5-V2-stool","M01.5-V3-stool","M02.1-V1-stool","M02.1-V2-stool","M02.1-V3-stool","M02.2-V1-stool","M02.2-V2-stool","M02.2-V3-stool","M02.3-V1-stool","M02.3-V2-stool","M02.3-V3-stool","M02.4-V1-stool","M02.4-V2-stool","M02.4-V3-stool","M02.5-V1-stool","M02.5-V2-stool","M03.1-V2-stool","M03.1-V3-stool","M03.3-V1-stool","M03.3-V2-stool","M03.3-V3-stool","M03.4-V1-stool","M03.4-V2-stool","M03.4-V3-stool","M03.5-V1-stool","M03.5-V2-stool","M04.1-V1-stool","M04.1-V3-stool","M04.2-V1-stool","M04.2-V2-stool","M04.2-V3-stool","M04.3-V1-stool","M04.3-V3-stool","M04.4-V1-stool","M04.4-V3-stool","M04.5-V1-stool","M04.5-V2-stool","M04.5-V3-stool","M04.6-V1-stool","M04.6-V2-stool","M04.6-V3-stool"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia",37.79552,46.16071,40.07862,37.81485,32.41927,31.08654,49.04297,39.2809,61.50404,50.81379,31.42296,71.67384,50.68096,62.32767,35.8236,57.53018,34.83053,18.20122,26.19681,25.24959,65.16145,70.66368,73.03227,40.04579,38.68615,53.70176,37.84319,37.59922,48.1887,43.21971,38.30119,49.39915,39.09433,45.94729,51.91678,28.40001,63.95411,60.08202,76.39223,56.24514,61.32674,58.51968,79.09246,55.97989,76.59458,59.82274,77.20023,58.1027,38.76758,79.13148,74.2351,74.32193,33.76476
"k__Bacteria|p__Firmicutes|c__Negativicutes",4.55566,7.25786,7.0841,0.70317,0.28671,0.12198,0.09742,0.70606,0.00634,2.10528,1.458,1.47325,1.16582,0.55551,0.03013,0.33383,0.35223,0.77693,0.84168,1.15125,0.81713,0.4102,0.27149,0.00517,0,0.01391,0.34239,0.34076,0.15432,0.50486,1.09734,0.7873,0.68068,1.39152,1.82884,1.59879,0,0.05424,3.5649,0.6687,0.10338,0.04024,0.05615,3.90507,1.92965,0.0627,2.72154,1.86454,2.85515,2.48395,9.30315,2.02139,2.4847
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia",3.07045,0.74858,2.92482,1.99656,1.3577,0.98934,2.72551,1.99041,1.40698,0.9097,1.22803,0.43733,1.3159,0.85304,1.23388,0.56555,0.63581,1.2149,0.85939,0.65431,0.27,0.15747,0.13483,1.53624,0.60579,0.98092,0.56077,0.35724,0.50657,0.72397,6.61663,3.59119,5.2707,1.28777,1.40226,3.22021,0.45713,0.3878,4.06871,3.6149,3.94204,11.82804,1.02856,4.81205,1.37268,1.28906,1.13289,2.60375,4.99199,1.00284,1.0896,0.4518,2.29067
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria",2.35268,0.63818,1.99701,0.53755,0.06629,0.0311,0.01028,0.06006,0,1.21865,0.59684,0.66741,0.09931,0.64333,13.67037,1.34457,8.67909,0.00545,0.17265,1.58749,0.24148,0.04545,0.0973,0.05909,13.09509,0.36403,0.19468,0.15584,0,0.08159,0.27747,0.20607,0.10592,0.21289,0.2289,0.09729,0,0.20252,0.86286,0.57774,0.33691,0.50772,0.26865,0.03522,0.06853,0.01008,0.07088,6.72371,0.22853,0.04322,0.2604,0.13231,0.00192
"k__Bacteria|p__Actinobacteria|c__Actinobacteria",1.82528,0.44247,1.29457,1.25334,0.28578,0.57279,0.49732,0.51938,0.79886,0.49598,4.09471,0.03816,2.07999,1.68917,0.66808,0.12919,1.35327,0.00817,0.07245,0.18297,0,0,0,0.07729,0.04257,1.94315,1.34453,0.77679,3.96834,4.41874,9.88054,14.12074,24.50599,2.61283,2.23199,8.45746,0.81847,2.35281,4.45946,5.35002,0.09937,4.28868,0.69271,0.44508,0.38153,3.66354,0.21079,6.54187,12.08731,0.23004,0.1287,0.11099,0.00156
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia",1.06875,0.34309,0.93084,0.34972,0.05719,0.1124,0.01552,0.54365,0.01683,0.24953,0.08697,0.11911,0.04733,0.18419,0.48785,0.17036,0.14093,0.17811,0.20516,0.25607,0.04539,0.09699,0.07523,1.90141,1.88158,1.5127,0.76183,0.40469,0.24197,0.5269,0.66152,0.47603,0.50927,0,0.05997,0.02407,0.46543,0.16157,1.02987,1.30995,1.4572,1.28357,0.60361,0.73555,0.2964,0.72537,0.34644,1.62791,5.25924,0.38477,2.13067,0.37772,0.9641
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified",0.74169,1.07808,1.95741,0.25847,0.14842,0.14808,0.21342,0.18195,0.18176,0.75639,2.21337,0.04953,0.33879,0.04581,0.89346,0.75524,0.26821,0.1561,0.24931,0.24652,0.16571,0.22793,0.10322,0.93922,1.36383,3.08448,0.01165,0.19503,0.72552,1.31526,1.49809,0.60066,0.51243,0.86551,0.73939,0.60116,0.7393,2.11491,0.05788,0.03993,0.00834,1.94,0.09918,2.22857,0.04493,0.56601,0.03904,1.03384,1.02272,0.03225,0.02311,0.0206,0.70829
"k__Archaea|p__Euryarchaeota|c__Methanobacteria",0.52288,0.22834,0.45593,0.00216,0.20628,0.02242,0,0,0,1.21879,1.696,0.25036,1.67828,0.65814,0.00634,0.0105,0.00739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02233,0.58628,0.70679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06331,1.81715
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria",0.31215,0.20835,0.39053,0,0,0,0,0,0,0.37155,0.33271,0.069,0.379,0.37481,0.01603,0.0285,0.00426,0.14949,0.11093,0.07896,0.04034,0.02565,0.02128,0.01321,0.00644,0.00834,0.02101,0.03282,0.0614,0.04124,0.09549,0.15318,0.11649,0.15262,0.29089,0.15384,0,0,0,0,0.0105,0.09307,0.00956,0.08726,0.02044,0.14109,0.01123,0.11346,0,0.00712,0.63172,0.03034,0
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae",0.24315,1.06257,1.09285,0.0904,1.33783,0.12444,0,0,0,1.60464,6.77206,0.01212,1.09501,1.31798,0,0,0.21381,0,0,0,3.95668,3.77209,3.63869,4.44781,9.19045,6.0141,0.09078,1.83929,0.24073,1.7847,8.58281,1.52869,2.62444,0,0,0,0,0,0,0,0,0,0,0.04602,0,0,0,0,0,0,0.14973,0,0
