"","M01.1-V1-stool","M01.1-V2-stool","M01.1-V3-stool","M01.2-V1-stool","M01.2-V2-stool","M01.2-V3-stool","M01.3-V1-stool","M01.3-V2-stool","M01.3-V3-stool","M01.4-V1-stool","M01.4-V2-stool","M01.4-V3-stool","M01.5-V2-stool","M01.5-V3-stool","M02.1-V1-stool","M02.1-V2-stool","M02.1-V3-stool","M02.2-V1-stool","M02.2-V2-stool","M02.2-V3-stool","M02.3-V1-stool","M02.3-V2-stool","M02.3-V3-stool","M02.4-V1-stool","M02.4-V2-stool","M02.4-V3-stool","M02.5-V1-stool","M02.5-V2-stool","M03.1-V2-stool","M03.1-V3-stool","M03.3-V1-stool","M03.3-V2-stool","M03.3-V3-stool","M03.4-V1-stool","M03.4-V2-stool","M03.4-V3-stool","M03.5-V1-stool","M03.5-V2-stool","M04.1-V1-stool","M04.1-V3-stool","M04.2-V1-stool","M04.2-V2-stool","M04.2-V3-stool","M04.3-V1-stool","M04.3-V3-stool","M04.4-V1-stool","M04.4-V3-stool","M04.5-V1-stool","M04.5-V2-stool","M04.5-V3-stool","M04.6-V1-stool","M04.6-V2-stool","M04.6-V3-stool"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",6.2177,4.84622,3.75367,9.2169,2.47775,4.75987,12.17112,20.58064,9.59134,3.80851,9.61775,2.21786,3.44208,2.76643,4.68369,4.30949,4.97214,2.62347,5.86104,4.06111,2.26263,4.05596,4.51773,5.38942,2.77526,4.45752,4.56815,3.00281,12.35187,5.77213,3.80244,3.64576,3.9029,4.22441,5.8304,4.80112,6.38704,6.47684,1.38613,4.61368,5.49937,4.00976,3.8464,5.28063,3.1429,3.86802,2.19237,2.28882,4.42856,2.63903,1.36152,3.46306,3.27504
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",5.51243,6.76322,7.47681,4.37362,5.28558,2.79998,5.18649,6.29678,5.37619,0.73602,1.32544,0.47757,0.23206,0.44482,3.63828,8.93005,7.67327,0.00414,0.01615,0,27.30943,33.14928,25.94428,3.87573,1.70518,3.97328,14.32082,17.36385,12.73027,12.25173,7.38918,5.59331,4.47368,8.80924,20.66008,4.04518,12.03432,8.24058,0.10202,0.09223,0.64309,3.18547,0.79281,0.74035,1.23221,17.33135,1.71319,7.0742,2.62682,1.63103,4.09245,0.55655,2.46302
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens",4.55566,7.21873,6.8999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86454,2.31265,0,9.01056,1.99977,2.47224
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",2.93788,5.25135,0.01549,4.98287,6.663,10.1809,0.98021,0.39697,3.58296,1.33512,0.19265,2.82019,4.76285,2.4592,1.27272,0.92781,9.31012,9.52921,4.85401,4.70869,0.50356,0.45365,0.58163,0.01757,0.14528,0.15932,3.03721,0.50292,1.21252,0.51526,0.30356,0.60866,0.55934,0.53873,0.12822,0.56715,3.78013,1.99506,0.95801,3.414,1.51817,0.04266,0.45129,10.13845,0.00596,0.91049,0.0147,2.77823,0.13626,0.0102,0.61774,2.11128,5.32663
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",2.54575,2.34352,3.02476,7.07643,5.80223,5.44629,0,0,0,0.00743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64065,0.24753,0.24339,2.01572,0.31448,3.48129,1.69753,0,1.7209,6.60468,2.88777,2.17518,0.58716,1.81496,1.81329
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena",2.50394,1.60261,3.14775,0.59806,0.33671,0.40544,1.13143,1.47919,0.9204,1.6481,3.70152,1.64361,2.23229,1.55726,0.98656,0.49714,0.55597,1.03253,0.94014,0.79031,0.05887,0.19016,0.15103,2.1776,1.0298,1.75687,0.53744,0.39286,0.57074,0.95102,1.62702,1.16746,1.61223,0,0,0.72058,0.54861,0.19347,1.72254,2.21669,2.50928,2.81285,0.86565,1.20421,0.95287,1.19803,0.99252,1.03813,2.31448,0.89274,1.03592,0.56957,2.88488
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens",2.50169,0.50798,2.40026,1.46951,0.71537,0.6286,2.17073,1.79292,1.04584,0.64943,0.73331,0.31609,1.12239,0.77526,0.77959,0.3962,0.37096,0,0.00086,0.00327,0,0,0,0.70201,0.3587,0.52504,0,0,0,0,6.09453,3.31375,4.8623,1.08329,1.08551,2.7742,0.00058,0,3.9129,3.42476,3.82761,11.46298,0.96167,4.50452,1.31992,1.21575,1.09722,2.52855,4.895,0.96866,1.05453,0.42068,2.12091
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",2.37927,3.59705,3.91666,8.54,2.31912,4.64541,8.48844,7.82578,14.45385,1.03709,1.95889,0.34889,1.36824,0.80307,9.42643,7.85947,3.88695,0.00081,0.01265,0.0034,6.0629,12.8351,12.65793,4.82687,3.95354,5.67979,16.08582,13.24579,0.01311,0.02215,12.91989,21.53074,12.65994,10.63572,8.85946,10.5845,36.52154,25.53894,1.19343,0.54208,2.04525,5.13112,1.95229,4.56204,2.9989,5.03026,3.23562,19.31844,17.29929,3.33837,3.60402,2.38234,3.5289
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli",2.34775,0.61072,1.87462,0.30635,0.00104,0.02348,0.01028,0,0,0.99059,0.52516,0.00392,0.00148,0.03204,13.67037,1.34457,0.01865,0.00286,0.02901,0,0.24148,0.04033,0.07481,0,0,0.35435,0.13001,0.08216,0,0.06762,0.26642,0.06863,0.06953,0.10155,0.19991,0.07012,0,0.14962,0.09625,0.00134,0.06503,0.41516,0.19232,0,0.00104,0.00147,0,0.08045,0,0,0.18424,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans",2.32611,1.3474,2.64455,1.23291,0.18113,1.01687,1.66351,1.58195,1.15485,0.12009,0.06815,0.10227,0.64988,0.6275,0.49084,0.57043,0.2227,2.36089,2.49106,4.73041,0.51276,1.12569,1.33773,2.81662,3.14278,3.01311,5.81024,5.55118,0.77049,1.23829,3.78919,2.63163,2.8525,1.90823,3.66038,6.58278,0.27088,1.81865,0.2111,0.54578,1.13871,1.10994,0.61484,1.06748,0.72779,1.12783,0.52403,0.53687,1.85522,0.61984,0.2361,0.34747,1.93452
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii",2.12176,0.69093,1.31192,0.33153,0.58802,0.40064,0.72839,0.47597,0.46886,0.33108,1.26477,0.25245,0.6001,0.3485,0.44616,0.34576,0.57237,0.89951,0.80564,0.94569,0.13344,0.1766,0.07066,1.55025,0.63411,0.68705,0,0.32431,1.66861,1.38926,0.22124,0.59094,0.5022,0.3396,0.82936,1.36148,0.67347,0.43145,0.41414,1.60807,0.51767,0.32687,0.25818,0.49075,0.29572,0.52006,0.30599,0.55614,1.26402,0.37756,0.9806,0.42691,0.93957
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_413",2.08815,3.08269,1.37011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae",1.98533,2.20001,1.60834,3.6141,2.74356,1.24917,1.13018,0.84617,2.72952,2.59008,5.531,0.15957,1.39891,0.80472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01178,0,0.0019,0.59399,0.01044,0,0.01325,0.00855,0.00501,0.01535,0.30637,0.10207,0.00993
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis",1.67538,0.78567,0.00546,0.78217,2.34555,2.98708,1.32122,1.93435,0.51694,0.03639,0.01935,0.03335,0.39162,0.22478,1.18909,0,0.05119,0.00484,0.01797,0.02298,0,0,0,0,0,0,0,0,0,0.02484,0,1.63194,0.56564,0,0,0,1.65124,0.84771,0.03541,0.01205,0.21818,0,0.53091,0.13072,1.61754,0.0116,1.34677,1.15914,1.64727,1.68637,0.11388,0.14932,0.17901
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens",1.63284,2.47097,0.19113,3.80783,4.69867,3.05886,2.80373,3.33175,0.36792,0.05161,0.87155,2.36221,2.64727,0.8634,2.0736,5.94071,9.68232,8.50308,13.29648,7.10872,0.31095,0.51486,0.43249,2.495,1.41902,1.00907,3.18756,2.31447,5.17025,3.37906,4.16887,0.01478,0.00271,6.54111,5.10204,6.02349,0.44803,1.07554,0.28028,0.10242,0.09834,0.06337,0.11261,0.31533,0.33218,0.11068,0.41635,0.21629,0.10756,0.31489,0.06025,1.77705,0.39723
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis",1.51507,0.08366,0.75326,0.47912,0.03752,0.24439,0,0,0,0.26286,3.41882,0,1.31165,1.21003,0.00129,0.00342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48695,8.43002,13.70276,1.13006,0.7122,2.15512,0,0,3.41902,4.86431,0.01134,0,0.1959,0.09337,0.25727,0.67676,0.15045,1.56093,6.66221,0.16109,0.09625,0.11099,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus",1.42523,1.37001,1.04089,0.97845,0.39844,0.57937,1.1517,0.67579,0.96337,0.81619,0.97717,0.26376,1.02992,0.59633,0.66103,1.07701,0.67909,1.42772,0.87062,1.28782,1.49453,1.34352,1.8173,0.82216,0.98571,1.32125,0,0,1.09093,1.27086,0.89402,1.11924,0.88611,3.4035,3.63993,2.29928,0,1.9985,0,0,0.05002,0.94537,0.43979,3.40225,0.3099,0.36064,0.37172,0.73518,1.34889,0.49572,0.20808,0.53764,0.08872
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_sp_CAG_318",1.34319,1.98664,0.59149,0,0,0,0,0,0,0.44192,0,0.42976,0,0,0,7.31028,0.1177,0,0,0,0,0,0,3.62875,3.31059,3.25033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23774,0.01438
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",1.26357,2.90875,1.0906,1.64148,0.29671,1.85957,0,0,0,0.08252,0.15955,0.00319,0.63273,0.59063,0.22628,0.93631,1.03751,0,0,0,1.25062,1.67565,1.39072,1.84918,0.92551,2.56383,0,0,0.42072,0.36702,1.11485,0.93353,0.78145,3.97033,1.65904,2.2399,15.00795,3.8226,0,0.00328,0.11714,0.39245,0.22818,0,0,0.61318,0,0.10477,0.13597,0,0.08556,0.02987,0.00339
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes",1.25495,0.75462,2.6225,0.26164,0.22847,0.2932,0.76599,1.27515,1.25997,2.14891,2.2605,0.99616,1.07346,0.87626,0.04412,0.01104,0.00507,0,0,0,0.47876,0.51737,0.43716,1.0723,0.63283,0.64442,0.7526,0.42787,0.89478,0.6378,2.04711,1.15226,1.15414,0.13923,0.38339,0.29357,0.84655,0.35114,0.17084,0.76021,0.66075,0.98399,0.3475,1.27185,0.45435,0.58653,0.44155,0.73259,1.22405,0.36292,0.49577,0.697,3.64946
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei",1.0939,1.81352,4.44643,1.75664,3.32599,3.66761,2.89447,3.54312,2.24214,0.19336,0.68228,0.32505,0.44248,0.28818,1.00536,2.95816,3.30947,10.82583,21.01723,19.23804,5.82083,5.39813,7.60771,4.1778,2.36077,2.64799,0,0,6.54742,6.10775,4.11175,6.22145,6.44044,0.78589,0.47737,0.92517,0.00175,0.05034,0.00637,0.00817,0.0175,0.67464,0.12778,2.84435,1.44514,15.17894,1.61553,0.12052,0.24536,1.79278,1.36233,0.24725,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis",1.01545,0.426,0.31427,0,0,0,0,0,0,0.0051,0.01596,0,0.0279,0.06999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405,0.00104,0.00589,0.00954,0.05488,2.04557,0.62097,1.42632,0.66474,1.34871,1.12432,0.69458,0.19304,0.41667,0.05281
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20",0.90699,0.21195,0.44341,0.428,0.56868,0.30289,0.03427,0.17515,0.04501,0.37993,0.68243,0.21052,0.72113,0.21967,0.25194,0.41104,0.09006,1.04465,1.67953,0.25837,0.09116,0.12359,0.07618,0.1747,0.14527,0.20402,0,0,0.1621,0.22979,0,0,0,0.36297,0.42403,0.266,0,0.0997,0.13941,0.11951,0.09312,0.41527,0.14475,1.1383,0.06076,0.44759,0.03141,0.72947,0.49999,0.03174,0.8171,0.2107,0.50542
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques",0.82576,0.60915,1.37506,0.48136,0.11105,0.20429,0.66561,0.51366,0.83147,0.52162,0.57754,0.51078,1.14228,1.78594,0.05342,0.02466,0,0,0,0,0.71969,1.13935,0.92864,0.64394,0.21745,0.53286,0,0,1.89385,2.63149,5.96452,1.72423,2.07645,2.02725,2.57582,3.67433,0.88375,0.41608,0.97784,1.88344,11.05312,2.22806,2.76373,4.0139,2.27823,1.90252,2.27475,0.49443,2.8169,2.05726,1.67716,0.72557,1.42474
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38",0.74542,0.0428,0.28057,0,0.18034,0.52541,0.51394,0.91561,0,0.8239,0.16089,0,0.18527,0.6951,0.70003,1.78338,1.23762,0,0,1.79272,0.00594,0.03168,0,0.24192,0.06823,0.01672,0.17515,0.34696,0.18465,0.35105,0,0.0027,0,0,0,0,3.15488,3.60025,0.03203,0.00708,0.72207,0.07805,0.01927,0,0,0.06347,0,0.01448,0.01197,0,0,0,0.00132
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae",0.73469,2.68432,0.9251,0,0,0,0,0,0,1.24808,0.58699,0.3505,0.65733,1.00448,2.2942,2.6791,0.55166,0.6242,1.26309,0.88678,0,0,0,0.99635,0.76361,1.30266,0,0,1.66972,0.89227,0.50218,1.92552,1.94717,1.01228,1.96657,1.03625,0,1.52814,0.23452,0.02778,0.07957,0.5589,0.19043,1.02996,0.48152,0,0.53887,0.50811,0.72831,0.58889,0.00795,0.02858,0.00877
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_144",0.67865,0.69435,0.65188,0,0,0,0,0,0,0,0.1449,0.00632,0.21706,0.11656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31888,1.94962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus",0.64306,0.36073,0.6188,0.51194,0.17513,0.83758,0.6007,0.51806,0.68906,0.31357,0.67034,0.16595,0.75133,0.48893,0.51004,0.36439,0.84169,1.0859,1.39295,1.69651,0.53949,0.97607,0.53278,2.02748,0.58292,1.05128,6.56017,2.76277,5.40078,3.99394,1.64751,3.66487,3.38537,2.18712,4.48188,5.8466,6.09195,1.28276,0.40978,1.73119,2.35962,3.59121,0.3417,0.22633,0.07012,0.55912,0.07388,0.688,2.31295,0.10237,0.75559,0.07014,1.34849
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",0.61524,0.54189,1.42736,0.02131,0.0033,0.01464,0.04781,0.02704,0.0237,0.03459,0.17224,0.06393,0.14219,0.33116,0.27426,0.27248,0.93672,0.61857,0.69181,0.84486,0.38332,1.09727,0.78384,0.09986,0.02885,0.1727,3.8758,1.69985,0.31615,0.40073,0.44041,0.83227,0.90305,2.03358,1.50021,3.60393,0.53324,0.18572,0.03736,0.07847,0.02778,0.42734,0.0714,0,0.00589,0.22588,0.0126,0.07115,0.068,0.00473,0.15883,0.12797,0.61697
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis",0.58412,1.48804,1.41577,0.50876,0.7236,0.87874,2.17752,0.94239,2.09747,0.14399,0.38996,0.07777,0.05771,0.07352,2.51357,2.07893,1.468,0,0,0,0,0,0,4.43453,3.47835,4.10955,0,0,2.43612,1.71155,0,0,0,1.423,0.85343,0.86789,0,5.07525,0,0,0,0,0.00335,0.91896,0.45063,0,0.64543,0,0,1.12918,0.01968,0.12783,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis",0.5768,0.72196,0.58348,1.81334,1.02392,1.01578,0.86108,0.98857,1.13745,0.41328,0.6911,0.21374,1.00958,0.60616,0.58491,1.4669,0.56121,0,0,0,1.41014,2.23083,2.47341,1.27935,0.9095,1.2143,1.44018,1.57572,2.60219,2.04357,0.50949,0.82825,0.97824,2.15332,2.83917,1.34545,0.01604,0.53465,0.05055,0.0674,0.30165,2.08014,0.37655,1.00185,0.51247,0.89932,0.59017,0.0327,0.1027,0.46578,0.88844,0.14453,0.59509
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",0.53998,0.64254,0.51139,1.05519,1.20173,1.16249,0,0,0,0.22421,0.12889,0.11515,0.50411,0.41927,0.47443,0.68683,0.44918,0,0,0,0.41682,1.65201,1.3178,1.62613,2.14743,3.76694,3.03997,2.95842,1.05802,0.289,1.0209,1.16989,0.94925,3.22139,1.90274,1.09574,0.25608,3.75548,0.32434,0.0862,0.47685,2.97561,0.45929,0.07309,0.18665,6.44764,0.19094,11.91851,5.20343,0.23887,0.06235,0.00451,0.56636
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa",0.53764,0.60225,0.84234,0.07586,0.12866,0.06213,0,0,0,0.62112,0.82906,0.09264,0.23105,0.0647,0,0.00316,0.00248,0,0,0,0.0014,6e-04,0.00356,0,0,0,0,0,0.00376,0,0,0,0,0.76385,0.76304,0.52878,0,0,0,0,0,0.00609,0.00489,1.07124,0.07849,0.00655,0.13155,0.01351,0.0691,0.20167,0.0503,0.09531,0.02048
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii",0.52288,0.22834,0.45593,0.00216,0.20628,0.02242,0,0,0,1.21879,1.696,0.25036,1.67828,0.65814,0.00634,0.0105,0.00739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02233,0.58628,0.70679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06331,1.81715
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_110",0.50957,0.92346,1.47394,0,0.00226,0,0,0,0,0.15431,0.19624,0.0067,0,0,0.66026,0.60976,0,0.06553,0.17472,0.17575,0.05942,0.06005,0.05331,0.12181,0.11846,0.19002,0,0,0.13143,0.80766,0,0,0,0.00061,0.00383,0.00842,0,0,0,0,0,0,0,0,0.00211,0,0.00029,0,0,0.00394,0,0.00212,0.21289
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens",0.50121,0.23514,0.46756,0.31057,0.37584,0.21821,0,0,0,0.25241,0.47499,0.11419,0.16002,0.04165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08801,0.12271,0.05718,0.14079,0.04405,0.17678,0.02372,0,0.01776,0,0,0.01734,0.01972,0.02363,0.127
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans",0.47644,0.14357,0.40475,0.22267,0.16849,0.16411,0.25372,0.28181,0.31531,0.50441,0.99565,0.21609,0.46954,0.39267,0.26194,0.1367,0.20507,0.19626,0.37545,0.40935,0.04185,0.15282,0.04261,0.30428,0.23641,0.27622,0.47342,0.2886,0.14782,0.1707,0.46084,0.39818,0.50916,0.15908,0.18176,0.13749,0.10524,0.08625,0.3626,0.8602,0.95914,1.24699,0.50104,1.73003,0.46821,0.89284,0.38455,0.35771,0.85626,0.49256,0.73326,0.2939,0.61158
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum",0.47299,0.47188,0.37714,0.26636,0.20224,0.27369,0,0,0,0.0253,0.00742,0.00294,0.02986,0.08739,0.15319,0.06503,0.07554,0.30198,0.03233,0.43128,0.30235,0.14284,0.15466,0.41965,0.26658,0.34564,0,0,0,0,0.28264,2.0185,1.90278,0.45501,0.49773,1.67909,0.38147,0.35997,0.03981,0.07219,0.06293,0.08799,0.21769,0.00236,0.00463,0.29115,0.00444,0,0,0.00765,0.0034,0.01767,0.23605
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis",0.47268,0.21755,0.72977,0,0,0,0,0,0,0.08089,0.07834,0.11308,0.01659,0.11385,0.24502,0.1347,0.06011,0,0,0,0,0,0,1.88723,1.86343,1.50063,0,0,0,0,0,0,0,0,0,0,0,0,0.05307,0.12807,0.62618,0.29014,0.47205,0.16055,0.07526,0.18681,0.09349,1.62791,5.25924,0.09704,1.23746,0.10051,0.79093
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis",0.46475,0.07791,0.13281,0.27998,0.02348,0.00746,0,0.52425,0,0.06031,0.00603,0,0.01367,0.00114,0.01134,0,0.03371,0.01762,0.05508,0.06597,0.00176,0.0036,0.00783,0,0,0,0.045,0.006,0,0,0,0.07407,0.05784,0,0.03383,0.00754,0,0.00753,0,0,0.02538,0,0.007,0,0.02156,0,0.01514,0,0,0.03392,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus",0.4557,0.23365,0.56601,0.08852,0.12888,0.09198,0.2955,0.27511,0.21079,0.60876,1.22424,0.14349,0.48566,0.24907,0.18364,0.06665,0.06756,0.22857,0.29167,0.29129,0.05854,0.0525,0.07967,0.33524,0.18185,0.27151,0,0,0.39372,0.65508,0.00413,0.01327,0.01227,0.18388,0.18448,0.45742,0.03558,0.18528,0,0.00569,0.31733,0.54663,0.1553,0.22707,0.04612,0.2715,0.03799,0.03193,0.25863,0.04396,0.17803,0.10238,0.16186
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_synergistica",0.34631,0.27857,0.46696,0.01046,0.00433,0.00643,0,0,0,0.22704,0.41899,0.03305,0.0627,0.03768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044,0,0.00073,0,0,0,0,0.00227,0.08741,0.03288,0.31931,0.03895,0.10846,0.06563,0.04115,0.11581,0.08392,0,0,5e-04
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger",0.31215,0.20835,0.39053,0,0,0,0,0,0,0.33455,0.30634,0.06609,0.379,0.37481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48068,0.03034,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum",0.31115,0.37113,0.60904,0.41126,0.64325,0.28922,0.46343,0.61106,0.48345,0.10079,0.23327,0.13378,1.84116,1.05071,1.9462,0.53769,1.54535,0.9242,0.91607,1.45779,0.01336,0.07799,0.03353,0.71733,0.20621,0.56348,0,0,0.18613,0.30912,1.20363,0.2501,0.22249,1.5241,0.6026,1.11871,0.27359,0.36291,0.15539,0.76745,0.19587,0.14278,0.03123,0.14462,0.07552,0.35805,0.0589,0.11012,0.24321,0.08122,0.01299,0.1418,0.20417
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum",0.30093,0.17274,0.01254,0.71093,0.21003,0.2612,0,0,0.66891,0.086,0.39653,0,0.57285,0.42906,0.65511,0.11399,0.95271,0,0,0,0,0,0,0,0,0,0,0,3.61933,3.98994,2.78238,3.73638,6.05916,0.67028,0.7928,3.0284,0.81508,2.35119,0.80757,0.24634,0.07469,4.28264,0.08831,0.34189,0.05961,0.49044,0.03322,1.75941,3.0822,0.03518,0,0,0
