"","P10E0","P10E7","P10E90","P11E0","P11E7","P11E90","P12E0","P12E7","P12E90","P13E0","P13E7","P13E90","P14E0","P14E7","P14E90","P15E0","P15E7","P15E90","P17E0","P17E7","P17E90","P18E0","P18E7","P18E90","P19E0","P19E7","P19E90","P1E0","P1E7","P1E90","P20E0","P20E7","P20E90","P21E0","P21E7","P21E90","P22E0","P22E7","P22E90","P23C0","P23C7","P23C90","P25C0","P25C7","P25C90","P2E0","P2E7","P2E90","P38C0","P38C7","P38C90","P3E0","P3E7","P3E90","P4E0","P4E7","P4E90","P5E0","P5E7","P5E90","P6C0","P6C7","P6C90","P7C0","P7C7","P7C90","P8C0","P8C7","P8C90","P9E0","P9E7","P9E90"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An138",0,0,0.00297,0,0.00032,0.00072,0.0069,0,0,0,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01065,0.01053,0,0,0,0,0.0019,0.11113,0.00532,0.00769,0,0.00581,0.0037,0.01824,0,0,0,0,0,0,0,0.00139,0.00522,0,0,0,0,0,0,0,0,0,0,0.01023,0.02611,0.00628,0,0,0,0,0,0,0.00116,0,0.00527
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis",0,0,0.00203,0,0,0.01531,0,0,0,0,0.00387,0.00661,0,0,0,0.00266,0,0.00057,0.00588,0,0.0307,0.031,0,0.00133,0.00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00599,0.00441,0.0059,0.00516,0,0.00844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis",0,0,0.00175,0,0,0.00185,0,0,0,0.00462,0.00551,0.00568,0,0,0,0,0,0,0,0,0,0,0,0.00181,0,0,0,0,0,0,0.00133,0,0,0,0,0,0,0,2e-04,0,0,0,0,0.00044,0.04067,0,0,0,0,0,0,0.00579,0,0,0.00063,0,0,0.00033,0,0.00928,0.04156,0.00194,0.00261,0,0.05681,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_chh4_2",0,0,0.00131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206,0,0,0,0,0,0,0,0,0,0.00998,0.00193,0,0,0,0,0,0.00082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra",0,0,0.00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_parvirubra",0,0,0.00072,0,0,0,0,0,0,0,0,0,0.03776,0.01565,0.16572,0,0,0.00264,0.01427,0,0.00706,0,0,0,0.00492,0,0.09018,0,0.00044,0.00374,0,0,0,0,0,0,0,0,0,0.02099,0.00125,0.04419,0.00098,0.00146,0.00034,0.00198,0.00296,0.01076,0.00069,0.00031,0.00128,0.00514,0.0016,0.00882,0,0,0,0,0,0,0,0,0,0.03896,0.04789,0.05498,0,0,0,0.03068,0,0.00154
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_spiroforme",0,0,0.00049,0,0,0,0.00288,0,0,0.00466,0,0.01387,0,0,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179,0,0,0,0,0,0,0.00352,0.00753,0.00051,0,0.00653,0.00224,0,0,0,0,0.00287,0,0,0,0,0.00053,0,0,0,0,0,0,0,0.00322,0.00125,0.00023,0.00409,0,0.00112,0.00042,0,0,0.00191
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae",0,0,0.00043,0,0,0,0,0,0,0.01402,0.00041,0.00429,0.01684,0,0.00611,0,0,0,0,0,0,0.00325,0,0.00696,0.00222,0,0.00164,0,0,0,0.0094,0,0,0,0,0,0,0,0,0,0,0,0.20189,0.31306,0.08751,0,0,0,0.00072,0,0.00207,0,0,0,0.00187,0,0.02491,0.01874,0.00083,0.00994,0.01624,0,0.01094,0,0,0,0,0,0.00035,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila",0,0,0.00038,0,0,0.00055,0,0,0,0.00181,0,0.00088,0,0,0,0,0,0,0,0,0,0.00167,0,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00721,0.00149,0.00162,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis",0,0,0.00017,0.02848,0,0.09533,0,0,0,0,0,0,0.0023,0.00133,0.00502,0,0,0,0,0,0.00047,0.05534,0,0.00586,0.00085,0.00038,0.00091,0.00034,0.00056,0.00153,0.00019,0,1e-04,0.00484,0,0.00715,0,0,0.00038,0.21932,0.33629,0.48809,0,0,0,0.00211,0.00084,0.00063,0.00065,0.00134,0,0.00035,0,0.00107,0,0,0,0.00824,0.00786,0.00832,0.00213,0.00448,0.00491,0.00226,0.00224,0.00582,0,0,0,0,0,0.00016
