"","P10E0","P10E7","P10E90","P11E0","P11E7","P11E90","P12E0","P12E7","P12E90","P13E0","P13E7","P13E90","P14E0","P14E7","P14E90","P15E0","P15E7","P15E90","P17E0","P17E7","P17E90","P18E0","P18E7","P18E90","P19E0","P19E7","P19E90","P1E0","P1E7","P1E90","P20E0","P20E7","P20E90","P21E0","P21E7","P21E90","P22E0","P22E7","P22E90","P23C0","P23C7","P23C90","P25C0","P25C7","P25C90","P2E0","P2E7","P2E90","P38C0","P38C7","P38C90","P3E0","P3E7","P3E90","P4E0","P4E7","P4E90","P5E0","P5E7","P5E90","P6C0","P6C7","P6C90","P7C0","P7C7","P7C90","P8C0","P8C7","P8C90","P9E0","P9E7","P9E90"
"k__Bacteria",99.94073,99.96223,99.86531,100,99.99773,100,100,99.99835,100,99.31189,99.51217,99.93135,99.87139,99.89679,99.45714,100,100,99.99263,100,100,100,100,100,100,98.12334,99.39927,99.98199,99.99196,99.97782,99.78211,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.91664,99.80162,99.9603,100,100,100,100,100,100,100,99.99641,100
"k__Archaea",0.05927,0.03777,0.13469,0,0,0,0,0,0,0.68811,0.48783,0.06865,0.10353,0.06888,0.06003,0,0,0.00737,0,0,0,0,0,0,1.87666,0.60073,0.01801,0.00804,0.02218,0.21789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08336,0.19838,0.0397,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes",74.20145,84.48082,79.76514,83.64509,80.10413,72.23172,77.51896,83.31895,68.76785,80.65595,90.38572,82.94584,88.05402,87.87285,81.30999,73.81594,92.95369,87.98678,88.34369,81.68135,82.37251,64.7419,88.843,84.74739,37.87227,44.25108,70.89203,25.5654,29.625,51.32105,85.99292,84.49257,91.29858,74.89848,77.74417,23.10555,82.21474,89.16969,84.02922,45.34006,29.91048,67.94443,55.73483,60.22548,76.17299,82.57959,84.17536,81.74031,71.78214,69.37595,71.95195,81.27524,85.08547,89.1293,92.67445,96.41467,92.39477,85.78802,90.06837,89.01286,72.1152,67.36996,76.78425,68.38004,68.2093,73.13921,89.13676,84.50978,89.58464,87.74905,89.66813,85.06246
"k__Bacteria|p__Firmicutes",20.95944,14.62041,18.8964,14.79964,18.06089,25.81152,22.06749,15.08928,31.08958,13.87746,5.22784,10.88971,9.19305,9.35842,14.13823,19.33032,2.87342,11.16324,9.33296,15.93295,14.03082,18.02902,8.00134,10.9043,42.07596,31.38138,21.76317,64.10914,62.15679,41.28792,12.19803,12.49145,6.78285,16.30601,17.13122,19.07496,14.81319,4.89584,12.61754,51.24961,65.99813,29.30982,42.70468,38.3627,19.00442,15.47265,13.84655,17.48256,26.07722,28.98866,26.62581,17.96025,13.62614,10.5825,6.96797,1.26164,6.19882,11.94772,9.5369,3.75747,18.6256,16.05,16.68653,23.30404,17.17276,15.53344,6.10821,11.56959,6.72442,10.52576,8.03205,14.36116
"k__Bacteria|p__Actinobacteria",2.66547,0.12645,0.76799,0.95608,0.03238,1.75588,0.35179,0.02345,0.14257,2.74557,2.65884,3.34684,0.97922,0.48671,1.89837,0.43288,0.15999,0.42925,1.56743,0.05512,1.10512,6.71588,0.22581,0.83214,0.8618,0.05516,0.47049,3.87439,2.4043,2.24916,0.85843,0.00494,0.33042,1.17816,0.04821,3.30901,0.17474,0.02593,0.38654,1.92637,2.82098,1.48463,0.45993,1.00092,1.01791,0.84895,0.72549,0.11997,0.1751,0.33453,0.28166,0.74211,1.26046,0.27057,0.30905,0.02397,0.33795,1.95516,0.28613,0.52324,7.27043,14.81026,2.86252,0.80474,0.93419,1.30324,0.27341,0.58313,0.49547,0.89498,0.52598,0.32997
"k__Bacteria|p__Proteobacteria",2.11437,0.73373,0.43578,0.59919,1.80034,0.20088,0.06177,1.56667,0,1.96171,1.23452,2.7327,1.64163,2.15499,1.85515,6.42086,3.83724,0.41215,0.75592,2.33057,0.23871,4.54544,2.92929,3.51206,1.60848,7.8972,0.84336,1.51057,1.01409,1.58326,0.95062,3.01104,1.58745,1.59181,0.78422,10.34098,2.78828,5.90853,2.96296,1.46765,1.22691,1.25951,0.58933,0.3925,0.26297,0.59543,0.45936,0.65665,1.96554,1.2998,1.14031,0.01881,0.02759,0.01763,0.04853,2.2554,1.06846,0.30139,0.0957,6.51857,1.9054,1.57139,3.25336,2.51522,4.23724,2.77201,4.48162,3.33682,3.19547,0.83021,1.77024,0.24616
"k__Archaea|p__Euryarchaeota",0.05927,0.03777,0.13469,0,0,0,0,0,0,0.68811,0.48783,0.06865,0.10353,0.06888,0.06003,0,0,0.00737,0,0,0,0,0,0,1.87666,0.60073,0.01801,0.00804,0.02218,0.21789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08336,0.19838,0.0397,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia",74.20145,84.48082,79.76514,83.64509,80.10413,72.23172,77.51896,83.31895,68.76785,80.65595,90.38572,82.94584,88.05402,87.87285,81.30999,73.81594,92.95369,87.98678,88.34369,81.68135,82.37251,64.7419,88.843,84.74739,37.87227,44.25108,70.89203,25.5654,29.625,51.32105,85.99292,84.49257,91.29858,74.89848,77.74417,23.10555,82.21474,89.16969,84.02922,45.34006,29.91048,67.94443,55.73483,60.22548,76.17299,82.57959,84.17536,81.74031,71.78214,69.37595,71.95195,81.27524,85.08547,89.1293,92.67445,96.41467,92.39477,85.78802,90.06837,89.01286,72.1152,67.36996,76.78425,68.38004,68.2093,73.13921,89.13676,84.50978,89.58464,87.74905,89.66813,85.06246
"k__Bacteria|p__Firmicutes|c__Clostridia",19.50479,14.60366,18.74697,9.70113,17.93437,16.13119,20.52541,15.06327,30.31116,12.36111,4.99377,10.18407,8.41552,8.40606,12.49772,17.9474,2.87342,9.84077,6.74234,15.06567,9.31461,13.71726,7.77666,9.5299,37.77707,26.95907,20.40119,62.75465,60.8108,38.13859,10.26704,12.19147,6.18384,13.95493,17.03657,17.36714,14.61268,4.86598,12.03086,46.507,59.25354,26.97805,41.30185,34.26509,18.14185,14.89692,13.26951,16.83435,25.712,28.21752,25.84128,16.73272,12.34925,9.84962,5.46965,1.20713,4.47178,10.32145,9.42446,2.18428,17.82897,14.55029,16.03258,22.05347,15.44313,13.87278,5.81566,10.93149,6.19125,9.10294,7.64465,12.66884
"k__Bacteria|p__Actinobacteria|c__Actinobacteria",1.86368,0.05926,0.41685,0.48062,0,1.12782,0,0.02168,0.04127,2.69703,2.3888,3.27605,0.00044,0.164,0.71124,0.39506,0.15999,0.21749,0.91602,0,0.86325,5.43843,0.19772,0.53794,0.12405,0.01912,0.11475,1.39634,0.97725,1.77915,0.35847,0.00183,0,0.04471,0,0.06876,0.04285,0,0.21343,0.86502,1.0239,0.28598,0.37172,0.95135,0.99607,0.04508,0.03185,0.06831,0.01534,0.02617,0.0224,0.02988,0,0,0.26511,0.02358,0.28695,0.68795,0.00263,0.16407,5.74241,11.70825,2.08218,0.21392,0.37135,0.6465,0.09746,0.36863,0.33523,0.73565,0.48574,0.13984
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria",1.00838,0.32359,0.24608,0.25552,0.67202,0.0273,0,0,0,1.31281,0.67511,2.30017,0.08355,0.41247,0.21896,1.95698,0.86871,0.24721,0.09269,2.06661,0.15472,0.47056,0.14026,0.33106,0.03455,0.24875,0.11223,0.18177,0.16818,0.38567,0.49058,0.99953,1.18374,0.23097,0.54652,0.09779,1.26077,3.69553,1.34571,0.1092,0.02791,0.12549,0.14636,0.00824,0.00784,0.31205,0.252,0.17582,1.30018,0.56508,0.74483,0.00514,0.0016,0.00882,0,0,0,0,0,0,0.25776,0.15304,0.49889,0.95011,1.35165,0.87998,3.28209,2.45281,2.3012,0.15069,1.40716,0.123
"k__Bacteria|p__Firmicutes|c__Negativicutes",0.9837,0,0.05303,4.73739,0.00287,8.99731,0.26167,0,0.01441,1.07968,0.00193,0.55901,0.14205,0.02284,0.06387,0.58641,0,0.41326,2.32294,0.28146,4.34442,2.66187,0,0.92999,1.82798,0.97249,0.55446,0.4238,0.80367,2.86235,1.78127,0,0.34464,1.70344,0.00014,0.67843,0.02205,0,0.11895,0.64567,1.04672,1.15147,0.69309,3.20479,0.30484,0.20176,0.16187,0.52452,0.14532,0.24006,0.24561,0.56588,0.93648,0.45843,1.44944,0,1.63229,1.43528,0,1.45352,0.40534,0.38526,0.35008,1.00132,0.95817,1.21999,0.2138,0.41708,0.48307,0.72111,0.10148,1.27228
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria",0.91828,0.04992,0.08137,0.0271,0.64876,0.01548,0.06177,1.56667,0,0.09859,0.00941,0.07836,0.02612,0.0805,0.01709,0.40921,0.10792,0.00259,0.53115,0.00169,0.02001,0.00828,1.42301,0.07331,0.00597,5.86986,0.00154,0.03842,0.03857,0.03866,0.24723,1.63722,0.23308,1.17061,0.04227,9.91273,0.08505,1.50483,0.1764,0.32531,0.08911,0.37171,0.40228,0.34819,0.15022,0.089,0.0455,0.35641,0,0.00045,0.03317,0.01367,0.02599,0.00881,0.04176,2.25032,1.06846,0.21713,0,6.45814,0.02353,0.14331,0.07563,0.04077,0.02496,0.01603,0.0136,0.00797,0.09437,0.6656,0.07113,0.07556
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia",0.80179,0.0672,0.35114,0.47546,0.03238,0.62806,0.35179,0.00177,0.10131,0.04855,0.27005,0.07079,0.97879,0.32271,1.18713,0.03782,0,0.21177,0.65141,0.05512,0.24186,1.27745,0.02809,0.2942,0.73775,0.03604,0.35575,2.47805,1.42705,0.47001,0.49996,0.00311,0.33042,1.13345,0.04821,3.24025,0.1319,0.02593,0.17311,1.06135,1.79708,1.19865,0.08821,0.04958,0.02184,0.80387,0.69364,0.05166,0.15975,0.30837,0.25926,0.71223,1.26046,0.27057,0.04393,0.00039,0.051,1.26721,0.2835,0.35916,1.52802,3.10201,0.78034,0.59082,0.56284,0.65674,0.17595,0.2145,0.16023,0.15933,0.04024,0.19013
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia",0.39368,0.00709,0.03419,0.05619,0.00237,0.06954,0.30817,0.02601,0.55654,0.00894,0.01418,0.08231,0.07699,0.09041,0.0795,0.00591,0,0.01708,0.02036,0.07237,0.0351,0.30912,0.11085,0.12981,0.08972,0.08323,0.03756,0,0,0.01376,0.09549,0.22162,0.04948,0.37371,0.09441,0.22619,0.00748,0.02699,0.01264,0.36052,0.44245,0.32864,0.05231,0.0641,0.07232,0.04513,0.06329,0.01963,0.07585,0.09569,0.04666,0.01333,0.04721,0.02168,0.01776,0.01497,0.01441,0.01371,0.06402,0,0.00703,0.05443,0.01201,0.01685,0.01252,0.02123,0.06757,0.14182,0.03257,0.00992,0.16135,0.03312
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria",0.10765,0.3313,0.08914,0.30362,0.44812,0.15734,0,0,0,0.46327,0.50965,0.20065,1.52952,1.63773,1.61631,0.05364,0.02394,0.0358,0.12792,0.1324,0.05601,0.23015,0.20055,0.16538,1.56625,1.76232,0.72881,1.27177,0.78832,1.11597,0.1804,0.30819,0.08123,0.15815,0.11794,0.31293,0.08649,0.06244,0.08701,1.02485,1.10751,0.75391,0.04069,0.03351,0.10491,0.18338,0.15513,0.11778,0.59034,0.69736,0.31641,0,0,0,0.00678,0.00509,0,0.08426,0.0957,0.06043,0.39466,0.45345,0.36638,1.51762,2.8446,1.86463,0,0,0,0.00755,0.22807,0.0436
"k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified",0.08006,0.02892,0.0192,0.01295,0.03143,0.00075,0,0,0,0.08704,0.04035,0.15352,0.00244,0.02428,0.00278,4.00102,2.83666,0.12655,0.00416,0.12986,0.00796,3.83644,1.16547,2.9423,0.0017,0.01627,0.00078,0.01861,0.01902,0.04296,0.0324,0.0661,0.0894,0.03208,0.07748,0.01753,1.35597,0.64574,1.35384,0.00829,0.00239,0.0084,0,0,0,0.011,0.00673,0.00664,0.07502,0.03691,0.04591,0,0,0,0,0,0,0,0,0,1.22944,0.82159,2.31247,0.00671,0.01603,0.01137,1.18593,0.87603,0.7999,0.00638,0.06389,0.004
"k__Archaea|p__Euryarchaeota|c__Methanobacteria",0.05927,0.03777,0.13469,0,0,0,0,0,0,0.68811,0.48783,0.06865,0.10353,0.06888,0.06003,0,0,0.00737,0,0,0,0,0,0,1.87666,0.60073,0.01801,0.00804,0.02218,0.21789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08336,0.19838,0.0397,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli",0.05719,0.00341,0.04461,0.0178,0.00045,0.02629,0.00395,0,0.00335,0.13085,0.01159,0.0327,0.01696,0,0.12536,0.21608,0,0.36919,0.02512,0,0.01682,0.04144,0.09392,0.02618,0.13208,0.23835,0.07698,0,0,0,0.05051,0.07835,0.20489,0.01219,0,0.04566,0.00042,0.00155,0.32926,0.09243,0.24568,0.09192,0.46667,0.70301,0.35276,0.05219,0.02223,0.07006,0.01987,0.04057,0.07409,0.0574,0.0674,0.01416,0.03105,0.03954,0.0286,0.17728,0.04842,0.11967,0.10075,0.23838,0.07623,0.00119,0.05979,0.01735,0,0.0259,0.00476,0.0988,0.11596,0.05684
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified",0.02008,0.00626,0.01635,0.28713,0.12083,0.58719,0.96829,0,0.20411,0.29688,0.20637,0.03162,0.54152,0.8391,1.37177,0.57454,0,0.52294,0.22221,0.51344,0.31988,1.29933,0.01991,0.28843,2.24911,3.12824,0.69297,0.93069,0.54232,0.27322,0.00372,0,0,0.26174,1e-04,0.75753,0.17056,0.00133,0.12583,3.64399,5.00974,0.75975,0.19077,0.12573,0.13266,0.27665,0.32966,0.034,0.12419,0.39481,0.41816,0.59091,0.2258,0.23861,7e-05,0,0.05175,0,0,0,0.28352,0.82163,0.21563,0.23121,0.69916,0.40207,0.01119,0.0533,0.01277,0.593,0.00861,0.33007
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales",74.20145,84.48082,79.76514,83.64509,80.10413,72.23172,77.51896,83.31895,68.76785,80.65595,90.38572,82.94584,88.05402,87.87285,81.30999,73.81594,92.95369,87.98678,88.34369,81.68135,82.37251,64.7419,88.843,84.74739,37.87227,44.25108,70.89203,25.5654,29.625,51.32105,85.99292,84.49257,91.29858,74.89848,77.74417,23.10555,82.21474,89.16969,84.02922,45.34006,29.91048,67.94443,55.73483,60.22548,76.17299,82.57959,84.17536,81.74031,71.78214,69.37595,71.95195,81.27524,85.08547,89.1293,92.67445,96.41467,92.39477,85.78802,90.06837,89.01286,72.1152,67.36996,76.78425,68.38004,68.2093,73.13921,89.13676,84.50978,89.58464,87.74905,89.66813,85.06246
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales",19.50479,14.60366,18.74697,9.70113,17.93437,16.13119,20.52541,15.06327,30.31116,12.36111,4.99377,10.18407,8.41552,8.40606,12.49772,17.9474,2.87342,9.84077,6.74234,15.06567,9.31461,13.71726,7.77666,9.5299,37.77707,26.95907,20.40119,62.75465,60.8108,38.13859,10.26704,12.19147,6.18384,13.95493,17.03657,17.36714,14.61268,4.86598,12.03086,46.507,59.25354,26.97805,41.30185,34.26509,18.14185,14.89692,13.26951,16.83435,25.712,28.21752,25.84128,16.73272,12.34925,9.84962,5.46965,1.20713,4.47178,10.32145,9.42446,2.18428,17.82897,14.55029,16.03258,22.05347,15.44313,13.87278,5.81566,10.93149,6.19125,9.10294,7.64465,12.66884
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales",1.81531,0.05926,0.41656,0.48062,0,1.10767,0,0,0.03742,2.69703,2.3888,3.27605,0.00044,0.164,0.70196,0.393,0.15999,0.21749,0.91554,0,0.86266,5.43571,0.19772,0.53763,0.12352,0.01912,0.11341,1.39634,0.97725,1.77915,0.35784,0,0,0.04445,0,0.06746,0.04285,0,0.20224,0.85092,0.99695,0.27036,0.3662,0.94575,0.99346,0.04508,0.03185,0.06831,0.00862,0.00702,0.01604,0.02988,0,0,0.25628,0.02358,0.28311,0.67503,0.00263,0.16407,5.73005,11.675,2.06364,0.20653,0.36767,0.64365,0.09746,0.36733,0.33523,0.72142,0.48574,0.13984
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales",1.00838,0.32359,0.24608,0.25552,0.67202,0.0273,0,0,0,1.31281,0.67511,2.30017,0.08355,0.41247,0.21896,1.95698,0.86871,0.24721,0.09269,2.06661,0.15472,0.47056,0.14026,0.33106,0.03455,0.24875,0.11223,0.18177,0.16818,0.38567,0.49058,0.99953,1.18374,0.23097,0.54652,0.09779,1.26077,3.69553,1.34571,0.1092,0.02791,0.12549,0.14636,0.00824,0.00784,0.31205,0.252,0.17582,1.30018,0.56508,0.74483,0.00514,0.0016,0.00882,0,0,0,0,0,0,0.25776,0.15304,0.49889,0.95011,1.35165,0.87998,3.28209,2.45281,2.3012,0.15069,1.40716,0.123
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales",0.9837,0,0.05303,2.22684,0,0.00639,0.26167,0,0.01441,1.07968,0.00193,0.55901,0.04859,0.0145,0.03679,0.58641,0,0.40359,2.07709,0,4.34199,2.66187,0,0.92999,0,0,0.00234,0,0,0.01522,1.78127,0,0.34464,1.70344,0.00014,0.67843,0.02205,0,0.11895,0.30854,0.11705,0.17818,0.08078,1.38567,0.11664,0.06266,0.04163,0.24502,0.00124,0,0.02782,0.12199,0,0.05723,1.44944,0,1.63229,1.43528,0,1.45352,0.01111,0.01064,0.03937,0.01377,0.14027,0.48605,0.2138,0.41708,0.48307,0.18511,0,0.00209
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales",0.90897,0.04992,0.06843,0.01758,0.64876,0.01548,0.06177,1.56667,0,0.09685,0.00941,0.07615,0.02612,0.0805,0.01423,0.005,0.10792,0.00169,0.52468,0.00169,0.00832,0.00828,1.42301,0.03259,0.00292,5.86986,0,0.03842,0.03857,0.03193,0.24723,1.63722,0.23308,1.17061,0.04227,9.91273,0.08328,1.50483,0.1364,0.32531,0.08911,0.37171,0.00106,0.01351,0,0.00624,0.00164,0.24072,0,0.00045,0,0,0,0,0.01052,2.25032,1.06846,0.21713,0,6.45687,0.02353,0.14331,0.0739,0.0369,0,0.01525,0.0136,0.00716,0.09437,0.5812,0.07113,0.0731
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales",0.64754,0.00396,0.25612,0.42738,0,0.47866,0.2249,0,0,0.02974,0.24309,0.02519,0.79016,0.28452,0.83559,2e-04,0,0.15009,0.60915,0,0.20319,1.15584,0,0.25648,0.54647,0.0112,0.30352,2.32701,1.31278,0.31559,0.48453,0,0.31446,0.99343,0.00038,2.25199,0.05817,0,0.1408,1.04514,1.74084,1.19183,0,0,0,0.33511,0.33094,0.0308,0.10552,0.14475,0.05359,0.42034,0.01886,0.13671,0.00142,0,0.00016,1.1609,0.18625,0.35042,0.97427,2.30313,0.63315,0.29205,0.23471,0.24446,0.00011,0,1e-04,0.15123,0.02711,0.14559
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales",0.39368,0.00709,0.03419,0.05619,0.00237,0.06954,0.30817,0.02601,0.55654,0.00894,0.01418,0.08231,0.07699,0.09041,0.0795,0.00591,0,0.01708,0.02036,0.07237,0.0351,0.30912,0.11085,0.12981,0.08972,0.08323,0.03756,0,0,0.01376,0.09549,0.22162,0.04948,0.37371,0.09441,0.22619,0.00748,0.02699,0.01264,0.36052,0.44245,0.32864,0.05231,0.0641,0.07232,0.04513,0.06329,0.01963,0.07585,0.09569,0.04666,0.01333,0.04721,0.02168,0.01776,0.01497,0.01441,0.01371,0.06402,0,0.00703,0.05443,0.01201,0.01685,0.01252,0.02123,0.06757,0.14182,0.03257,0.00992,0.16135,0.03312
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales",0.15425,0.06323,0.09502,0.04807,0.03238,0.1494,0.12689,0.00177,0.10131,0.01881,0.02696,0.0456,0.18863,0.03819,0.35154,0.03762,0,0.06168,0.04226,0.05512,0.03867,0.12162,0.02809,0.03772,0.19128,0.02483,0.05223,0.15104,0.11428,0.15442,0.01543,0.00311,0.01597,0.14002,0.04784,0.98826,0.07373,0.02593,0.03231,0.01621,0.05624,0.00682,0.08821,0.04958,0.02184,0.46876,0.3627,0.02087,0.05423,0.16362,0.20567,0.29189,1.2416,0.13386,0.04251,0.00039,0.05084,0.10631,0.09725,0.00874,0.55375,0.79888,0.14719,0.29878,0.32813,0.41228,0.17583,0.2145,0.16013,0.0081,0.01314,0.04454
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales",0.10765,0.3313,0.08914,0.30362,0.44812,0.15734,0,0,0,0.46327,0.50965,0.20065,1.52952,1.63773,1.61631,0.05364,0.02394,0.0358,0.12792,0.1324,0.05601,0.23015,0.20055,0.16538,1.56625,1.76232,0.72881,1.27177,0.78832,1.11597,0.1804,0.30819,0.08123,0.15815,0.11794,0.31293,0.08649,0.06244,0.08701,1.02485,1.10751,0.75391,0.04069,0.03351,0.10491,0.18338,0.15513,0.11778,0.59034,0.69736,0.31641,0,0,0,0.00678,0.00509,0,0.08426,0.0957,0.06043,0.39466,0.45345,0.36638,1.51762,2.8446,1.86463,0,0,0,0.00755,0.22807,0.0436
"k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified",0.08006,0.02892,0.0192,0.01295,0.03143,0.00075,0,0,0,0.08704,0.04035,0.15352,0.00244,0.02428,0.00278,4.00102,2.83666,0.12655,0.00416,0.12986,0.00796,3.83644,1.16547,2.9423,0.0017,0.01627,0.00078,0.01861,0.01902,0.04296,0.0324,0.0661,0.0894,0.03208,0.07748,0.01753,1.35597,0.64574,1.35384,0.00829,0.00239,0.0084,0,0,0,0.011,0.00673,0.00664,0.07502,0.03691,0.04591,0,0,0,0,0,0,0,0,0,1.22944,0.82159,2.31247,0.00671,0.01603,0.01137,1.18593,0.87603,0.7999,0.00638,0.06389,0.004
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales",0.05927,0.03777,0.13469,0,0,0,0,0,0,0.68811,0.48783,0.06865,0.10353,0.06888,0.06003,0,0,0.00737,0,0,0,0,0,0,1.87666,0.60073,0.01801,0.00804,0.02218,0.21789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08336,0.19838,0.0397,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales",0.05719,0.00341,0.04141,0.0178,0.00045,0.02415,0.00395,0,0.00335,0.13085,0.01159,0.0327,0.01696,0,0.12536,0.2142,0,0.36869,0.02512,0,0.01682,0.04012,0.09392,0.02581,0.12917,0.23835,0.07698,0,0,0,0.05051,0.07835,0.20489,0.01219,0,0.04566,0.00042,0.00155,0.32584,0.09243,0.24568,0.09192,0.46667,0.70208,0.35218,0.05127,0.02223,0.07006,0.01987,0.04057,0.07409,0.0574,0.0674,0.01416,0.03105,0.03954,0.0286,0.17728,0.04842,0.11967,0.10075,0.23838,0.07623,0.00119,0.05979,0.01735,0,0.0259,0.00476,0.0988,0.11596,0.05684
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales",0.04052,0,0,0,0,0,0,0,0.00385,0,0,0,0,0,0,0.00021,0,0,0.00048,0,6e-04,0.00272,0,0.00031,0.00053,0,0.00134,0,0,0,0.00063,0.00183,0,0.00026,0,0.00103,0,0,0,0.01314,0.02459,0.01562,0.00042,0.0024,5e-04,0,0,0,0.00632,0.01915,0,0,0,0,0.00884,0,0.00384,0.01293,0,0,0.00525,0.01905,0.00011,0.00739,0.00368,0.00199,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified",0.02008,0.00626,0.01635,0.28713,0.12083,0.58719,0.96829,0,0.20411,0.29688,0.20637,0.03162,0.54152,0.8391,1.37177,0.57454,0,0.52294,0.22221,0.51344,0.31988,1.29933,0.01991,0.28843,2.24911,3.12824,0.69297,0.93069,0.54232,0.27322,0.00372,0,0,0.26174,1e-04,0.75753,0.17056,0.00133,0.12583,3.64399,5.00974,0.75975,0.19077,0.12573,0.13266,0.27665,0.32966,0.034,0.12419,0.39481,0.41816,0.59091,0.2258,0.23861,7e-05,0,0.05175,0,0,0,0.28352,0.82163,0.21563,0.23121,0.69916,0.40207,0.01119,0.0533,0.01277,0.593,0.00861,0.33007
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales",0.00932,0,0.01293,0.00952,0,0,0,0,0,0.00174,0,0.00221,0,0,0.00286,0.40422,0,9e-04,0.00647,0,0.01169,0,0,0.04073,0.00305,0,0.00154,0,0,0.00673,0,0,0,0,0,0,0.00177,0,0.04001,0,0,0,0.36056,0.33468,0.15022,0.04005,0.01944,0.1157,0,0,0.03317,0.01367,0.02599,0.00881,0.03124,0,0,0,0,0.00126,0,0,0.00173,0.00387,0.02496,0.00078,0,0.00081,0,0.0844,0,0.00246
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales",0.00785,0,0.00029,0,0,0,0,0,0,0,0,0,0,0,0,0.00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0,0,0.00096,0.00235,0,0.00375,0.00319,0.00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00711,0.01358,0.01843,0,0,0.00087,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae",46.63464,55.19339,51.67567,52.99793,35.43189,61.13767,24.26572,11.38936,19.11803,37.97564,64.59708,58.8918,11.35334,16.33196,12.82177,62.30383,82.49605,73.36069,41.40676,62.04987,50.4308,46.01448,72.17523,63.12024,12.81086,16.11421,7.87386,12.0253,13.66523,28.8027,83.28686,53.79078,88.17202,69.77827,65.25584,15.62613,64.46722,54.02119,64.2866,14.1595,9.70855,32.96441,40.69732,50.60697,59.23407,49.5473,53.31753,43.92646,50.39826,32.10251,55.08059,72.57807,70.84001,81.94141,5.74852,28.74376,92.39477,48.75799,42.28671,67.49503,45.41183,35.21105,48.45542,17.43392,12.90542,38.76099,70.76286,68.46671,68.95641,54.5584,60.6473,59.84682
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae",16.57056,8.358,12.95401,23.65209,14.20198,5.50495,0,0,0,34.0295,11.13689,16.6888,3.97479,4.09822,5.20368,6.89973,1.5863,3.5887,36.12078,8.75627,23.47717,8.26788,7.01224,11.73458,6.8478,8.93839,7.91157,8.11024,9.23075,16.29159,0,0,0,2.35381,6.16814,0.40394,10.19468,12.45334,6.43356,23.96614,14.80799,26.88151,12.65302,7.30875,13.71684,20.13074,16.72435,21.51777,14.78057,25.7094,11.80634,1.87568,1.76201,1.22121,0,0,0,22.51671,16.32563,5.91984,20.41923,21.29977,19.62949,29.55481,38.01316,20.19561,14.32435,12.76314,17.83375,19.62397,18.34545,17.00429
